date,event_intensity
2022-02-05,8
2022-02-27,7
2022-03-17,10
2022-03-19,7
2022-04-23,9
2022-04-24,9
2022-07-08,8
2022-07-09,8
2022-07-10,8
2022-07-17,10
2022-07-24,10
2022-07-31,7
2022-09-02,8
2022-09-03,8
2022-09-04,8
2022-09-09,10
2022-09-10,10
2022-09-11,10
2022-09-16,10
2022-09-17,10
2022-10-30,7
2022-11-13,6
2023-02-04,8
2023-02-11,9
2023-03-17,10
2023-03-18,10
2023-05-05,8
2023-05-07,8
2023-05-09,8
2023-07-01,8
2023-07-02,8
2023-07-23,10
2023-07-30,10
2023-08-06,6
2023-08-11,9
2023-08-12,9
2023-08-13,7
2023-09-01,8
2023-09-02,8
2023-09-03,8
2023-10-29,7
2024-02-10,7
2024-02-24,7
2024-03-16,8
2024-03-17,10
2024-05-19,9
2024-06-20,9
2024-06-21,9
2024-06-23,8
2024-06-27,8
2024-06-28,9
2024-06-29,9
2024-06-30,9
2024-07-05,8
2024-07-21,10
2024-07-28,10
2024-08-16,8
2024-08-17,8
2024-08-18,8
2024-08-29,10
2024-08-30,10
2024-09-02,10
2024-10-27,7
